"product_sk","product_id","product_name","category","category_display","product_weight_g","product_photos_qty"
-1,,"Unknown",,"Unknown",,
4054,"1e9e8ef04dbcff4541ed26657ea517e5","Cerrado Home Eau de Toilette, Yellow Ref. 2702","perfumery","Perfumery",225,1
7646,"3aa071139cb16b67ca9e5dea641aaa2f","Juriti Deluxe Art Pack, Green Ref. 8418","art","Art",1000,1
19352,"96bd76ec8810374ed1b65e291975717f","Araucária Urban Swim Goggles, Beige","sports_leisure","Sports Leisure",154,1
26673,"cef67bcfe19066a932b7673e239eb23d","Cerrado Slim Changing Pad, Silver","baby","Baby",371,1
20306,"9dc1a7de274444849c219cff195d0b71","Sabiá Premium Cutting Board","housewares","Housewares",625,4
8572,"41d3672d4792049fa1779bb35283ed13","Guaraná Urban Drumsticks Ref. 9718","musical_instruments","Musical Instruments",200,1
14931,"732bd381ad09e530fe0a5f457d81becb","Sabiá Deluxe Gadget Kit Ref. 7785","cool_stuff","Cool Stuff",18350,4
4942,"2548af3e6e77a690cf3eb6368e9ab61e","Ipê Urban Candle Holder, Green Ref. 7202","furniture_decor","Furniture Decor",900,2
7250,"37cc742be07708b53a98702e77a21a02","Jangada Plus Home Appliances Set","home_appliances","Home Appliances",400,1
18075,"8c92109888e8cdf9d66dc7e463025574","Oca Slim Remote Control Car Ref. 6436","toys","Toys",600,1
2720,"14aa47b7fe5c25522b47b4b29c98dcb9","Jangada Deluxe Table Runner, Green","bed_bath_table","Bed Bath Table",1100,1
445,"03b63c5fc16691530586ae020c345514","Aurora Plus Bottle Set Ref. 2399","baby","Baby",7150,4
26720,"cf55509ea8edaaac1d28fdb16e48fc22","Vento Sul Urban Ukulele","musical_instruments","Musical Instruments",250,3
16035,"7bb6f29c2be57716194f96496660c7c2","Vento Sul Tropical Table Lamp, Green","furniture_decor","Furniture Decor",600,2
30280,"eb31436580a610f202c859463d8c7415","Itapuã Max Construction Tools Safety Kit, Silver Ref. 256","construction_tools_safety","Construction Tools Safety",200,4
7772,"3bb7f144022e6732727d8d838a7b13b3","Ipê Tropical Dumbbell Pair Ref. 8255","sports_leisure","Sports Leisure",800,1
13744,"6a2fb4dd53d2cdb88e0432f1284a004c","Carioca Tropical Body Splash, Navy","perfumery","Perfumery",400,2
20779,"a1b71017a84f92fd8da4aeefba108a24","Oca Plus External SSD, White Ref. 779","computers_accessories","Computers Accessories",900,1
20635,"a0736b92e52f6cead290e30b578413b6","Sabiá Premium Floating Shelf Ref. 445","furniture_decor","Furniture Decor",1700,2
31575,"f53103a77d9cf245e579ea37e5ec51f0","Serra Azul Nordic Fitted Sheet Set, Gray Ref. 6966","bed_bath_table","Bed Bath Table",500,1
3723,"1c1890ba1779090cd54008a3c3302921","Tupã Tropical Photo Frame, Blue","furniture_decor","Furniture Decor",2550,4
10584,"518ef5de2c2b3a255e326a4594ba15d9","Sabiá Pro Duvet Cover, Silver","bed_bath_table","Bed Bath Table",800,2
29342,"e3e020af31d4d89d2602272b315c3f6e","Bahia Bela Tropical Sunscreen SPF 50","health_beauty","Health Beauty",75,3
17898,"8b41fbc2b984a12030090112324d1bc4","Sabiá Plus Crib Mobile, Yellow Ref. 7855","baby","Baby",500,1
