Job_ID,Date_Evaluated,Company,Role_Title,Location,Work_Type,Employment_Type,Comp_Posted,Applicant_Volume,Source,URL,Verdict,Score,Role_Type,Comp_Flag,Biggest_Gap,Biggest_Strength,Recommended_Action,Carls_Action,Carls_Action_Date,Outcome,Reason,Notes,Score_Raw
4400000506,2026-08-24,Blue Ridge Insurance,"Manager, Data & Analytics","Franklin, TN",Onsite,Full-time (W2),"$95,000.00 - $149,000.00",,Recruiter message,https://example.invalid/jobs/3600848238,Skip,58,Consulting Delivery,,Stack is Snowflake-core with Power BI as a secondary surface,Governed reporting layer that program teams consume directly,"Review (judgment call) - compensable gate fired, no veto",None,,,analyst-level scope,"Score 58 = Lane 13 + Scope 16 + Comp 14 + Location 5 + Skills 1 + Applicants 9. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",58
4400001980,2026-08-22,Meridian Data Co,Data Architect,"Columbus, OH",Onsite,Contract-to-hire,"$154,000.00 - $175,000.00",Over 100 applicants,LinkedIn job alert,https://example.invalid/jobs/9840572096,Pursue,74,Consulting Delivery,None (>=TARGET),Job is delivery/consulting shaped rather than product-side ownership,Governed reporting layer that program teams consume directly,Skip - delivery-shaped role,Withdrew,2026-09-02,,,Score 74 = Lane 14 + Scope 18 + Comp 15 + Location 13 + Skills 14 + Applicants 0. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,74
4400002538,2026-07-22,Anvil Freight,Power BI Developer,"Chicago, IL",Remote,Contract (12 months),"$107,000.00 - $126,000.00",40 applicants,Recruiter message,https://example.invalid/jobs/8005211569,Pass,88,Analytics Leadership,Sub-target (FLOOR-TARGET),Comp tops out below the floor for the posted band,Explicit semantic-model ownership named in the responsibilities,"Review (judgment call) - compensable gate fired, no veto",Pass,2026-08-07,,"data engineering, not BI",Score 88 = Lane 17 + Scope 14 + Comp 14 + Location 5 + Skills 14 + Perks 8 + Applicants 16. G3b fires: client-delivery shape rather than product ownership.,88
4400002972,2026-08-17,Halcyon Retail Group,BI Engineering Lead,Remote (US),Onsite,Contract-to-hire,"$168,000.00 - $188,000.00",48 clicked apply,LinkedIn job alert,https://example.invalid/jobs/8921916392,Not evaluated,,Data Engineering,Below veto line (<VETO_LINE),,,,,,,,Not evaluated - posting body could not be retrieved.,
4400002905,2026-08-31,Anvil Freight,Power BI Developer,"Franklin, TN",Remote,Full-time,"$158,000.00 - $177,000.00",Over 100 applicants,LinkedIn job alert,https://example.invalid/jobs/5673279576,Review,53,Data Engineering,,Fixed-term contract rather than a permanent role,Governed reporting layer that program teams consume directly,"Review (judgment call) - compensable gate fired, no veto",,,,,Score 53 = Lane 3 + Scope 3 + Comp 11 + Location 4 + Skills 7 + Perks 5 + Applicants 20. Capped from 53 (rubric ceiling for this lane applied).,53
4400002712,2026-07-30,Anvil Freight,Reporting & Insights Manager,"Franklin, TN",Remote,Full-time (W2),"$187,000.00 - $246,000.00",3 applicants,Recruiter message,https://example.invalid/jobs/9374588679,Skip,110,BI / Analytics,Below veto line (<VETO_LINE),Title reads senior but the body describes an IC reporting role,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,None,,,contract; sub-target comp,Score 110 = Lane 20 + Scope 16 + Comp 16 + Location 7 + Skills 16 + Perks 19 + Applicants 16. G3b fires: client-delivery shape rather than product ownership.,110
4400001694,2026-09-02,Openfield Energy,Reporting & Insights Manager,"Atlanta, GA",Remote,Full-time (W2),,Over 100 applicants,LinkedIn saved search,https://example.invalid/jobs/9193313749,Pursue,59,Data Engineering,Below floor (VETO_LINE-FLOOR),Comp tops out below the floor for the posted band,Clear analytics-engineering lane rather than generic BI support,Pass - fails the comp gate,Referral Requested,2026-09-07,,,Score 59 = Lane 2 + Scope 17 + Comp 15 + Location 13 + Skills 0 + Applicants 12. G3b fires: client-delivery shape rather than product ownership.,59
4400000912,2026-08-20,Openfield Energy,"Manager, Data & Analytics","Franklin, TN",Remote-first (confirmed on both the posting and the company career site),Full-time,,69 clicked apply,LinkedIn saved search,https://example.invalid/jobs/5572823083,Skip,77,BI / Analytics,Sub-target (FLOOR-TARGET),Stack is Snowflake-core with Power BI as a secondary surface,Clear analytics-engineering lane rather than generic BI support,"Review (judgment call) - compensable gate fired, no veto",,,,"data engineering, not BI",Score 77 = Lane 10 + Scope 9 + Comp 18 + Location 4 + Skills 15 + Perks 12 + Applicants 9.,77
4400002763,2026-08-21,Foundry Nine,BI Engineering Lead,United States,Onsite,Contract (12 months),"$156,000.00 - $187,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/6124473783,Skip,61,Data Engineering,Below veto line (<VETO_LINE),Comp tops out below the floor for the posted band,Governed reporting layer that program teams consume directly,Skip - delivery-shaped role,None,,,director+ scope,Score 61 = Lane 16 + Scope 11 + Comp 3 + Location 9 + Skills 2 + Perks 9 + Applicants 11.,61
4400007380,2026-08-14,Apex Talent Partners,Senior Data Analyst,"Austin, TX",Hybrid (2 days onsite),Contract-to-hire,,16 clicked apply,Recruiter message,https://example.invalid/jobs/9077614006,Pursue,60,Analytics Leadership,Sub-target (FLOOR-TARGET),Heavy people-management with little hands-on modeling,Direct match to the Fabric / Power BI stack already in use,Skip - delivery-shaped role,Pass,2026-08-10,,,"Score 60 = Lane 16 + Scope 9 + Comp 15 + Location 0 + Skills 12 + Perks 2 + Applicants 6. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",60
4400007084,2026-08-06,Larkspur Media,BI Engineering Lead,"Chicago, IL",Remote,Full-time (W2),"$166,000.00 - $201,000.00",Over 100 applicants,LinkedIn job alert,https://example.invalid/jobs/7979508591,Skip,67,Consulting Delivery,Sub-target (FLOOR-TARGET),Job is delivery/consulting shaped rather than product-side ownership,Explicit semantic-model ownership named in the responsibilities,Skip - delivery-shaped role,,,,"data engineering, not BI",Score 67 = Lane 11 + Scope 11 + Comp 18 + Location 3 + Skills 11 + Applicants 13. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,67
4400005064,2026-08-07,Summit Row Financial,"Manager, Data & Analytics","Atlanta, GA",Remote,Contract (12 months),,,LinkedIn saved search,https://example.invalid/jobs/4098811786,Skip,82,Analytics Leadership,Below floor (VETO_LINE-FLOOR),Fixed-term contract rather than a permanent role,Explicit semantic-model ownership named in the responsibilities,"Review (judgment call) - compensable gate fired, no veto",,,,director+ scope,Score 82 = Lane 16 + Scope 15 + Comp 4 + Location 15 + Skills 11 + Perks 18 + Applicants 3. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,82
4400009100,2026-08-14,Blue Ridge Insurance,BI Engineering Lead,"Franklin, TN",Remote,Contract-to-hire,"$120,000.00 - $138,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/9547515550,Skip,97,Consulting Delivery,Below veto line (<VETO_LINE),Heavy people-management with little hands-on modeling,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,,,,low comp,Score 97 = Lane 19 + Scope 20 + Comp 7 + Location 12 + Skills 3 + Perks 16 + Applicants 20.,97
4400010402,2026-08-08,Bright Fen Systems,BI Engineering Lead,"Austin, TX",Remote,Contract-to-hire,,,LinkedIn job alert,https://example.invalid/jobs/4464781109,Skip,28,Analytics Leadership,Sub-target (FLOOR-TARGET),Fixed-term contract rather than a permanent role,Explicit semantic-model ownership named in the responsibilities,Skip - delivery-shaped role,None,,,"data engineering, not BI",Score 28 = Lane 4 + Scope 4 + Comp 4 + Location 4 + Skills 7 + Perks 2 + Applicants 3. Capped from 28 (rubric ceiling for this lane applied). G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,28
4400005940,2026-08-26,Parallax Manufacturing,Reporting & Insights Manager,"Chicago, IL",Hybrid (2 days onsite),Full-time (W2),"$128,000.00 - $167,000.00",Over 100 applicants,LinkedIn saved search,https://example.invalid/jobs/3166457462,Skip,56,BI / Analytics,Below veto line (<VETO_LINE),Stack is Snowflake-core with Power BI as a secondary surface,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,Pass,2026-08-21,,no longer accepting applications,Score 56 = Lane 6 + Scope 10 + Comp 12 + Location 1 + Skills 7 + Perks 8 + Applicants 12. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,56
4400011568,2026-07-24,Greystone Public Sector,BI Engineering Lead,"Austin, TX",Hybrid (2 days onsite),Full-time,,,LinkedIn saved search,https://example.invalid/jobs/4699563850,Skip,70,BI / Analytics,Sub-target (FLOOR-TARGET),Stack is Snowflake-core with Power BI as a secondary surface,Clear analytics-engineering lane rather than generic BI support,"Review (judgment call) - compensable gate fired, no veto",,,,analyst-level scope,Score 70 = Lane 19 + Scope 20 + Comp 3 + Location 20 + Skills 18 + Applicants 6. Capped from 86 (rubric ceiling for this lane applied). G3b fires: client-delivery shape rather than product ownership.,86
4400007922,2026-07-22,Openfield Energy,Senior Data Analyst,"Atlanta, GA",Remote,Contract-to-hire,"$165,000.00 - $182,000.00",49 applicants,LinkedIn saved search,https://example.invalid/jobs/9266282702,Skip,69,Analytics Leadership,Sub-target (FLOOR-TARGET),Title reads senior but the body describes an IC reporting role,Direct match to the Fabric / Power BI stack already in use,"Review (judgment call) - compensable gate fired, no veto",None,,,analyst-level scope,Score 69 = Lane 5 + Scope 20 + Comp 10 + Location 11 + Skills 19 + Perks 4 + Applicants 0.,69
4400011340,2026-08-13,Tessellate AI,Data Architect,"Franklin, TN",Remote-first (confirmed on both the posting and the company career site),Contract (12 months),"$124,000.00 - $151,000.00",Over 100 applicants,LinkedIn saved search,https://example.invalid/jobs/8893326654,Skip,72,Analytics Leadership,,Fixed-term contract rather than a permanent role,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,None,,,contract; sub-target comp,Score 72 = Lane 12 + Scope 19 + Comp 9 + Location 13 + Skills 11 + Applicants 8. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,72
4400008721,2026-08-17,Ironwood Health,Director of Analytics,"Austin, TX",Hybrid (2 days onsite),Full-time (W2),"$163,000.00 - $199,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/8466706258,Pursue,42,Consulting Delivery,Below floor (VETO_LINE-FLOOR),Heavy people-management with little hands-on modeling,Explicit semantic-model ownership named in the responsibilities,Pass - fails the comp gate,Withdrew,2026-09-03,,,Score 42 = Lane 0 + Scope 3 + Comp 15 + Location 17 + Skills 2 + Perks 1 + Applicants 4. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,42
4400012020,2026-08-25,Summit Row Financial,Senior BI Developer,"Columbus, OH",Hybrid (2 days onsite),Full-time (W2),"$95,000.00 - $142,000.00",59 clicked apply,LinkedIn job alert,https://example.invalid/jobs/4355187741,Skip,23,Analytics Leadership,Below floor (VETO_LINE-FLOOR),Title reads senior but the body describes an IC reporting role,Remote-first and the posted state list includes the target state,Skip - delivery-shaped role,,,,"data engineering, not BI",Score 23 = Lane 10 + Scope 0 + Comp 5 + Location 5 + Skills 0 + Applicants 3.,23
4400009387,2026-08-08,Halcyon Retail Group,Business Intelligence Analyst,Remote (US),Remote-first (confirmed on both the posting and the company career site),Contract-to-hire,"$127,000.00 - $161,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/8639113599,Skip,39,Data Engineering,Below floor (VETO_LINE-FLOOR),Fixed-term contract rather than a permanent role,Clear analytics-engineering lane rather than generic BI support,Skip - delivery-shaped role,,,,contract; sub-target comp,Score 39 = Lane 6 + Scope 2 + Comp 7 + Location 14 + Skills 1 + Applicants 9. Capped from 39 (rubric ceiling for this lane applied). G3b fires: client-delivery shape rather than product ownership.,39
4400019426,2026-08-26,Cedar & Vale,Reporting & Insights Manager,United States,Hybrid (2 days onsite),Full-time (W2),"$152,000.00 - $174,000.00",,Recruiter message,https://example.invalid/jobs/3671787158,Skip,72,Data Engineering,Sub-target (FLOOR-TARGET),Job is delivery/consulting shaped rather than product-side ownership,Clear analytics-engineering lane rather than generic BI support,"Review (judgment call) - compensable gate fired, no veto",Pass,2026-08-24,,"data engineering, not BI",Score 72 = Lane 13 + Scope 18 + Comp 8 + Location 7 + Skills 12 + Perks 6 + Applicants 8.,72
4400013570,2026-08-05,Vantage Grid,Senior Data Analyst,"Chicago, IL",Onsite,Contract-to-hire,"$185,000.00 - $236,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/2437857111,Pass,49,Analytics Leadership,Sub-target (FLOOR-TARGET),Job is delivery/consulting shaped rather than product-side ownership,Direct match to the Fabric / Power BI stack already in use,Pursue - strong lane match,Pass,,,analyst-level scope,Score 49 = Lane 6 + Scope 16 + Comp 4 + Location 3 + Skills 0 + Applicants 20. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,49
4400003120,2026-08-12,Perihelion Labs,Director of Analytics,"Austin, TX",Remote,Contract-to-hire,,34 applicants,Recruiter message,https://example.invalid/jobs/7752458232,Skip,74,Data Engineering,Sub-target (FLOOR-TARGET),Title reads senior but the body describes an IC reporting role,Clear analytics-engineering lane rather than generic BI support,Pass - fails the comp gate,Pass,2026-08-06,,consulting delivery role,Score 74 = Lane 8 + Scope 5 + Comp 15 + Location 4 + Skills 15 + Perks 11 + Applicants 16.,74
4400024050,2026-08-13,Foundry Nine,Fabric Data Engineer,Remote (US),Onsite,Contract-to-hire,"$123,000.00 - $151,000.00",Over 100 applicants,LinkedIn job alert,https://example.invalid/jobs/3047809872,Skip,68,Analytics Leadership,None (>=TARGET),Title reads senior but the body describes an IC reporting role,Direct match to the Fabric / Power BI stack already in use,"Review (judgment call) - compensable gate fired, no veto",,,,contract; sub-target comp,Score 68 = Lane 8 + Scope 1 + Comp 18 + Location 6 + Skills 19 + Applicants 16. Capped from 68 (rubric ceiling for this lane applied).,68
4400010686,2026-07-24,Quarry Lane Logistics,Senior BI Developer,"Columbus, OH",Remote-first (confirmed on both the posting and the company career site),Full-time,"$125,000.00 - $182,000.00",11 clicked apply,LinkedIn job alert,https://example.invalid/jobs/5735124744,Pass,59,Analytics Leadership,,Heavy people-management with little hands-on modeling,Clear analytics-engineering lane rather than generic BI support,Pursue - strong lane match,None,,,no longer accepting applications,Score 59 = Lane 12 + Scope 8 + Comp 7 + Location 8 + Skills 19 + Applicants 5. G3b fires: client-delivery shape rather than product ownership.,59
4400016713,2026-08-25,Openfield Energy,Fabric Data Engineer,"Franklin, TN",Hybrid (2 days onsite),Contract-to-hire,,,LinkedIn saved search,https://example.invalid/jobs/4069439341,Skip,68,Data Engineering,Below floor (VETO_LINE-FLOOR),Job is delivery/consulting shaped rather than product-side ownership,Governed reporting layer that program teams consume directly,Pursue - strong lane match,Pass,2026-08-28,,analyst-level scope,Score 68 = Lane 14 + Scope 5 + Comp 6 + Location 17 + Skills 13 + Applicants 13.,68
4400005124,2026-07-21,Northwind Analytics,Power BI Developer,"Atlanta, GA",Remote,Contract-to-hire,"$130,000.00 - $169,000.00",51 applicants,LinkedIn saved search,https://example.invalid/jobs/9626311086,Pass,79,BI / Analytics,Below floor (VETO_LINE-FLOOR),Job is delivery/consulting shaped rather than product-side ownership,Direct match to the Fabric / Power BI stack already in use,Skip - delivery-shaped role,None,,,contract; sub-target comp,Score 79 = Lane 19 + Scope 6 + Comp 19 + Location 18 + Skills 0 + Perks 3 + Applicants 14. G3b fires: client-delivery shape rather than product ownership.,79
4400028565,2026-07-24,Apex Talent Partners,Reporting & Insights Manager,United States,Hybrid (2 days onsite),Full-time (W2),,,LinkedIn saved search,https://example.invalid/jobs/8744755377,Skip,59,Consulting Delivery,Below veto line (<VETO_LINE),Title reads senior but the body describes an IC reporting role,Clear analytics-engineering lane rather than generic BI support,"Review (judgment call) - compensable gate fired, no veto",,,,director+ scope,"Score 59 = Lane 5 + Scope 6 + Comp 7 + Location 5 + Skills 3 + Perks 17 + Applicants 16. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",59
4400016980,2026-08-30,Apex Talent Partners,Analytics Engineer,"Austin, TX",Remote,Contract (12 months),,23 clicked apply,LinkedIn saved search,https://example.invalid/jobs/5165133223,Skip,54,Analytics Leadership,Sub-target (FLOOR-TARGET),Job is delivery/consulting shaped rather than product-side ownership,Clear analytics-engineering lane rather than generic BI support,Pass - fails the comp gate,Pass,2026-09-11,,director+ scope,Score 54 = Lane 8 + Scope 0 + Comp 0 + Location 17 + Skills 10 + Perks 14 + Applicants 5. G3b fires: client-delivery shape rather than product ownership.,54
4400009424,2026-07-21,Willow Bank Credit Union,Power BI Developer,"Nashville, TN",Remote,Contract (12 months),,79 clicked apply,Recruiter message,https://example.invalid/jobs/7151745746,Pass,61,Analytics Leadership,,Title reads senior but the body describes an IC reporting role,Clear analytics-engineering lane rather than generic BI support,Pass - fails the comp gate,Pass,2026-07-17,,low comp,"Score 61 = Lane 2 + Scope 1 + Comp 3 + Location 3 + Skills 16 + Perks 19 + Applicants 17. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",61
4400017056,2026-08-17,Openfield Energy,Analytics Engineer,"Columbus, OH",Remote,Full-time (W2),,29 clicked apply,Recruiter message,https://example.invalid/jobs/5950731988,Pursue,53,Data Engineering,None (>=TARGET),Fixed-term contract rather than a permanent role,Explicit semantic-model ownership named in the responsibilities,Pass - fails the comp gate,Referral Requested,,,,Score 53 = Lane 6 + Scope 4 + Comp 20 + Location 0 + Skills 19 + Applicants 4.,53
4400005115,2026-07-28,Openfield Energy,Analytics Engineer,Remote (US),Remote,Full-time (W2),"$108,000.00 - $124,000.00",,LinkedIn saved search,https://example.invalid/jobs/3288832023,Skip,111,Consulting Delivery,Sub-target (FLOOR-TARGET),Title reads senior but the body describes an IC reporting role,Remote-first and the posted state list includes the target state,Pursue - strong lane match,Pass,2026-07-30,,low comp,"Score 111 = Lane 15 + Scope 16 + Comp 20 + Location 19 + Skills 10 + Perks 13 + Applicants 18. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",111
4400014620,2026-07-24,Perihelion Labs,Fabric Data Engineer,"Austin, TX",Onsite,Contract-to-hire,,,LinkedIn job alert,https://example.invalid/jobs/6806355887,Skip,58,Data Engineering,Sub-target (FLOOR-TARGET),Stack is Snowflake-core with Power BI as a secondary surface,Explicit semantic-model ownership named in the responsibilities,Pursue - strong lane match,None,,,analyst-level scope,Score 58 = Lane 7 + Scope 8 + Comp 7 + Location 4 + Skills 13 + Perks 16 + Applicants 3. G3b fires: client-delivery shape rather than product ownership.,58
4400027615,2026-07-23,Meridian Data Co,BI Engineering Lead,"Nashville, TN",Remote-first (confirmed on both the posting and the company career site),Full-time,,15 clicked apply,LinkedIn saved search,https://example.invalid/jobs/7035075448,Review,64,Data Engineering,Below floor (VETO_LINE-FLOOR),Title reads senior but the body describes an IC reporting role,Remote-first and the posted state list includes the target state,Pass - fails the comp gate,Applied,2026-08-01,Interview,,Score 64 = Lane 15 + Scope 9 + Comp 8 + Location 12 + Skills 9 + Applicants 11.,64
4400015408,2026-08-21,Halcyon Retail Group,Senior Data Analyst,United States,Remote-first (confirmed on both the posting and the company career site),Full-time,"$102,000.00 - $132,000.00",Over 100 applicants,LinkedIn saved search,https://example.invalid/jobs/1802113582,Pursue,108,Data Engineering,,Heavy people-management with little hands-on modeling,Direct match to the Fabric / Power BI stack already in use,"Review (judgment call) - compensable gate fired, no veto",None,,,,Score 108 = Lane 15 + Scope 20 + Comp 20 + Location 15 + Skills 18 + Applicants 20.,108
4400034521,2026-08-20,Parallax Manufacturing,Power BI Developer,"Chicago, IL",Remote-first (confirmed on both the posting and the company career site),Full-time,"$160,000.00 - $202,000.00",93 applicants,Recruiter message,https://example.invalid/jobs/8107395175,Skip,88,Consulting Delivery,Below veto line (<VETO_LINE),Fixed-term contract rather than a permanent role,Clear analytics-engineering lane rather than generic BI support,Skip - delivery-shaped role,,,,analyst-level scope,Score 88 = Lane 12 + Scope 10 + Comp 10 + Location 19 + Skills 18 + Applicants 19. G3b fires: client-delivery shape rather than product ownership.,88
4400009424,2026-08-07,Openfield Energy,Senior BI Developer,"Charlotte, NC",Onsite,Contract-to-hire,"$132,000.00 - $177,000.00",46 clicked apply,LinkedIn saved search,https://example.invalid/jobs/4012339908,Pursue,39,Data Engineering,Below veto line (<VETO_LINE),Job is delivery/consulting shaped rather than product-side ownership,Governed reporting layer that program teams consume directly,Pass - fails the comp gate,None,,,,"Score 39 = Lane 2 + Scope 5 + Comp 13 + Location 3 + Skills 5 + Perks 3 + Applicants 8. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",39
4400028470,2026-08-28,Bridgeway Staffing,Reporting & Insights Manager,"Chicago, IL",Remote,Full-time,"$114,000.00 - $171,000.00",Over 100 applicants,Recruiter message,https://example.invalid/jobs/5439482848,Skip,85,Consulting Delivery,Sub-target (FLOOR-TARGET),Title reads senior but the body describes an IC reporting role,Direct match to the Fabric / Power BI stack already in use,Skip - delivery-shaped role,,,,analyst-level scope,"Score 85 = Lane 6 + Scope 17 + Comp 13 + Location 20 + Skills 13 + Perks 3 + Applicants 13. G1 fires: fixed-term language in the body -> Review-class, deduction applied.",85
4400021400,2026-07-26,Parallax Manufacturing,Director of Analytics,"Chicago, IL",Remote-first (confirmed on both the posting and the company career site),Contract-to-hire,"$147,000.00 - $195,000.00",49 applicants,LinkedIn job alert,https://example.invalid/jobs/6254821145,Review,56,Consulting Delivery,Sub-target (FLOOR-TARGET),Comp tops out below the floor for the posted band,Remote-first and the posted state list includes the target state,Skip - delivery-shaped role,Withdrew,2026-08-11,,,Score 56 = Lane 7 + Scope 8 + Comp 18 + Location 6 + Skills 10 + Perks 0 + Applicants 7. G2b fires: top of posted range sits in the VETO_LINE-FLOOR band.,56
